City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
265,Ullapool,GB,2022-06-16 04:25:11,57.8987,-5.1604,57.34,96,100,2.8
266,Lazaro Cardenas,MX,2022-06-16 04:25:11,17.9583,-102.2,80.65,83,100,16.73
267,Saint-Alexandre,FR,2022-06-16 04:25:12,44.2278,4.6214,64.06,77,53,3.76
268,Santa Cruz Cabralia,BR,2022-06-16 04:25:12,-16.2781,-39.0247,66.43,94,100,5.75
269,Batabano,CU,2022-06-16 04:25:12,22.7164,-82.2881,77.72,81,6,10.92
270,Angoche,MZ,2022-06-16 04:25:13,-16.2325,39.9086,69.24,88,0,8.14
271,Iqaluit,CA,2022-06-16 04:25:14,63.7506,-68.5145,40.73,87,100,12.66
272,Laramie,US,2022-06-16 04:25:14,41.3114,-105.5911,57.96,22,0,6.91
273,Antalaha,MG,2022-06-16 04:26:15,-14.9003,50.2788,68.85,88,28,5.48
274,Pringsewu,ID,2022-06-16 04:26:15,-5.3582,104.9744,85.33,62,73,2.01
275,Tchibanga,GA,2022-06-16 04:26:15,-2.85,11.0333,68.04,92,70,1.23
276,Yurino,RU,2022-06-16 04:26:16,56.2942,46.3039,58.73,91,100,4.79
277,Constitucion,CL,2022-06-16 04:26:16,-35.3333,-72.4167,49.59,88,12,6.42
278,Kysyl-Syr,RU,2022-06-16 04:26:17,63.8986,122.7617,69.55,44,51,8.1
279,Bam,IR,2022-06-16 04:26:17,29.106,58.357,99.84,7,3,17.34
280,Xining,CN,2022-06-16 04:26:18,36.6167,101.7667,74.8,28,3,2.71
281,Dangriga,BZ,2022-06-16 04:26:18,16.9692,-88.2321,78.76,83,69,10.09
282,Huanren,CN,2022-06-16 04:26:19,41.2647,125.3667,73.11,65,98,6.82
283,Tawang,IN,2022-06-16 04:26:19,27.5833,91.8667,56.19,97,98,3.06
284,Kuopio,FI,2022-06-16 04:24:01,62.8924,27.677,51.75,87,100,20.71
285,Grand Gaube,MU,2022-06-16 04:26:20,-20.0064,57.6608,74.37,64,1,8.99
286,Kathmandu,NP,2022-06-16 04:25:40,27.7167,85.3167,79.02,73,75,3.44
287,Abha,SA,2022-06-16 04:26:21,18.2164,42.5053,71.85,18,0,0.0
288,Kieta,PG,2022-06-16 04:26:21,-6.2167,155.6333,82.31,76,81,4.29
289,Aykhal,RU,2022-06-16 04:26:21,66.0,111.5,64.65,52,24,9.69
290,Kerchevskiy,RU,2022-06-16 04:26:22,59.946,56.2884,68.23,64,88,5.37
